,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
Barnabas C,-0.14675973398178166,-0.20283128901656547,-0.10151425908962285,-0.013709198196202168,-0.11739473134138699,-0.0037697058399390323,-0.048981078665141946,-0.13690074874779717,-0.15514868830255163,-0.19927145429682858,-0.118331422698414,0.16575165956452773,-0.004091344167530986,0.12167345157379234,-0.013699093334619031,-0.03736444100283523,-0.006677272397088957,-0.006308091543060811,-0.13142578579175093,-0.013579498695442645,-0.011277418413761457,0.2598767582996005,0.18079372765824747,1.0000000000000002,0.07634496636518252,0.05427653682045644,0.026406595607270128,0.12766042958214904,0.12273699247152746,-0.024543600285470167,-0.02149139368205232,-0.15873798581949403,-0.17685501604576973,-0.17484729851232708
Clement 1 Corinthians A,-0.15257004742920555,-0.2576461465099943,-0.2137275142399959,0.06069725831864382,0.09138511784337053,-0.0635156347199894,-0.0894870419634782,-0.10790757975034997,-0.015430198173021608,0.026729264069555635,-0.2734157770609986,0.05336494609316049,-0.04128051844358727,0.08102030827786462,0.0072294315619609775,0.0745704850860374,0.10575082059420114,0.08388615614827455,-0.017724913413873767,-0.1752946611567673,-0.03918156418068755,-0.09290273436365967,-0.06719892296012002,0.07634496636518252,1.0000000000000004,0.12570401259927153,0.1537919391572997,0.26685381829168137,-0.051508438583064496,0.08453205620755419,-0.05822987347052566,-0.08747467111657582,-0.1374140402789925,-0.11753337688246114
Clement 1 Corinthians B,-0.14529033263088817,-0.10473098753595018,-0.009690689705236311,-0.07561145472012677,-0.15876348804598528,-0.03625327555567103,-0.19721374252451362,-0.21355059319500758,-0.1336364985847034,-0.0897608881960054,-0.15276530635209035,0.1059970528719284,-0.03739245550540596,-0.036546491486373116,0.13586147242661564,0.04799460232163489,0.1179646565394121,0.07993771346431346,-0.05847094001889136,-0.12703568295486234,-0.12032934381047225,0.04094299747625878,-0.06516404591827599,0.05427653682045644,0.12570401259927153,1.0000000000000002,0.24715724970348527,0.20131051905065764,-0.02262220527219264,0.07153184907705826,-0.2467040634138062,-0.0025618696339792086,-0.017073659629743766,-0.08709212289571787
Clement 1 Corinthians C,-0.12888184004820233,-0.12099512067683499,-0.16160319780951812,-0.07019485869823992,-0.1356296190022159,-0.05315568521808026,-0.1296885738667448,-0.229103820334078,-0.19494600376055846,0.04057314601186574,-0.04997065793603354,0.03577116334940495,-0.07343715689365551,0.021889278176486317,-0.014154701493125062,0.09456504784266535,0.001105560462384068,0.16381438655707645,0.013082766231656084,-0.1327019638638817,0.0072370969010271255,0.002491751129389348,0.06245856039032355,0.026406595607270128,0.1537919391572997,0.24715724970348527,0.9999999999999999,0.19460534530025808,0.06056761412096769,0.12148054479218419,-0.16680169903828151,-0.10679963174134594,-0.0925073617351155,-0.16599706646954193
Clement 1 Corinthians D,-0.22085711133253186,-0.1552164753653575,-0.1848951390506162,-0.06177968036260952,-0.11569697779506986,0.06794637924469003,0.007899197348909771,-0.0988748103125642,-0.18793714709879827,-0.07735531962532859,-0.22841038963479368,0.07797087443470477,0.06339520048340663,-0.04963899957957992,-0.024632555090419027,0.0738702836448208,0.08221404399615627,0.01758582351228331,-0.03817707974323139,-0.1346192560002885,0.014941931956030627,0.021711220562196414,-0.14551702668713495,0.12766042958214904,0.26685381829168137,0.20131051905065764,0.19460534530025808,1.0,-0.022197602005346373,0.14033909861043575,-0.06838646184759768,-0.01485969667247009,-0.12366406506616336,-0.1644059309706198
Diognetus,-0.0037255234331957836,-0.04353837129971869,-0.006933784373418049,-0.1049076272562946,-0.07342636991225548,0.04142351910330707,-0.1367417018153338,-0.17915517102584616,-0.1579005968545887,-0.15794164288463228,-0.029028493817357306,0.12195581722180429,0.040965502957642765,-0.048999847717918994,-0.11270433162431893,-0.07545655693768799,-0.14978200938801317,-0.14089019888014404,-0.04264602360915234,-0.061332071108794926,-0.05449183590885476,0.069484742870455,0.17172681125191439,0.12273699247152746,-0.051508438583064496,-0.02262220527219264,0.06056761412096769,-0.022197602005346373,0.9999999999999991,0.1888013530928973,-0.07663983685943812,-0.0982630383668751,-0.002688381890832551,0.016546204016439962
Iranaeus Martyrdom Polycarp,-0.04048392664025955,-0.1275421758123669,-0.11925526162193516,-0.10398493635502112,-0.0015775536238666174,0.03524137781410348,-0.1708699729004394,-0.22712476330788167,-0.08671777988222423,-0.08956486887587248,-0.013495355745173193,0.09088073586561723,0.047849005253549425,-0.09603756005159404,-0.06937849832635777,0.026727301440595347,-0.035169102903449156,-0.045260371441758394,-0.014006841032270461,-0.15055891221945827,0.01034025165414518,-0.07316922922763382,-0.027764123427540782,-0.024543600285470167,0.08453205620755419,0.07153184907705826,0.12148054479218419,0.14033909861043575,0.1888013530928973,0.9999999999999999,-0.09478027534608152,-0.028234414900359835,-0.008580412844486128,-0.023083876194373874
Paul A,0.013481160230597995,0.03689416880958016,0.0027440218573824672,-0.10363693502639015,0.01671602382355891,-0.03137566769053661,0.3368321885746014,0.21393139119222873,0.18728048904347563,0.1333064843059532,0.11335499204789247,-0.19515761595188497,-0.05662034034169737,-0.2094366349134397,-0.21876009451757478,-0.28028297256727686,-0.29352143422168714,-0.20481723787551315,0.00632794274449802,0.031241666071716356,0.10037202235792389,-0.014467885061699472,-0.024266000744756086,-0.02149139368205232,-0.05822987347052566,-0.2467040634138062,-0.16680169903828151,-0.06838646184759768,-0.07663983685943812,-0.09478027534608152,0.9999999999999994,0.11058417796367045,0.077549733461884,0.05387779442388279
Ignatius A,0.03971555196161535,0.011853348294682545,-0.04473038722085505,-0.1451168766801837,0.09013994094703809,0.03896115723977296,-0.0692719211231288,-0.04541603041201912,0.08703965429156717,0.03232077673941406,-0.08899570990445069,0.014071288142135192,0.07545034503358712,-0.0801609053277919,-0.18071812120375524,-0.18134725728065587,-0.17515485630770317,-0.17608158395656598,-0.03639679649729987,-0.06490187266944132,-0.16499214093834352,-0.026273993979282328,-0.13194962003838384,-0.15873798581949403,-0.08747467111657582,-0.0025618696339792086,-0.10679963174134594,-0.01485969667247009,-0.0982630383668751,-0.028234414900359835,0.11058417796367045,0.9999999999999999,0.39171356674864044,0.3761733000573029
Ignatius B,-0.040799075105736646,-0.0032613279270983808,-0.13569155239733488,-0.13430902204477435,-0.09468016362349292,0.034477264534037426,-0.1297661364309959,-0.0511489241172461,0.07367266874639578,-0.07135846018115052,-0.029444326490674844,-0.007561613272840207,0.042434687805679064,0.016243378830081767,-0.13703233177303786,-0.06173185067862794,-0.10133461092900561,-0.1501604361099267,-0.021149152446286675,-0.005290800582485409,-0.14497801689441278,-0.12382081457099721,-0.04749896785630668,-0.17685501604576973,-0.1374140402789925,-0.017073659629743766,-0.0925073617351155,-0.12366406506616336,-0.002688381890832551,-0.008580412844486128,0.077549733461884,0.39171356674864044,0.9999999999999993,0.4091471543699665
Ignatius C,0.05230723673805804,0.06004109018021449,0.013295432454824022,-0.11587434105289232,-0.017592415776667158,0.006111688934306674,-0.07610118133241205,0.05754955745131679,0.0006990391867676344,-0.05069276304534979,0.017687517346991834,-0.04632291650120277,0.03845174096229905,-0.10947731127954508,-0.17557593655702067,-0.24101103006990504,-0.28367387094278607,-0.16053132979132004,-0.026097236547827463,0.026274924487677417,-0.013045403216826667,-0.00894870193206718,-0.04490105630724855,-0.17484729851232708,-0.11753337688246114,-0.08709212289571787,-0.16599706646954193,-0.1644059309706198,0.016546204016439962,-0.023083876194373874,0.05387779442388279,0.3761733000573029,0.4091471543699665,1.0
